,carat,cut,color,clarity,depth,table,price,x,y,z
113,1.01,Premium,G,SI2,61.0,58.0,4327,6.48,6.43,3.94
114,0.33,Ideal,J,SI2,62.4,54.0,366,4.43,4.45,2.77
115,0.3,Ideal,D,VS2,62.3,56.0,710,4.29,4.32,2.68
116,0.53,Ideal,F,SI2,61.7,55.0,1421,5.22,5.25,3.23
117,0.51,Very Good,H,SI1,63.0,57.0,1090,5.11,5.14,3.23
118,1.2,Ideal,H,SI1,61.9,56.0,6578,6.78,6.82,4.21
119,1.25,Premium,J,SI2,62.3,59.0,4331,6.82,6.86,4.26
120,1.3,Premium,G,SI2,61.8,57.0,5421,7.02,6.94,4.32
121,0.38,Ideal,F,IF,60.7,57.0,1212,4.69,4.73,2.86
122,0.71,Ideal,H,IF,62.0,54.0,3190,5.71,5.75,3.55
123,2.33,Good,G,SI2,63.9,60.0,13242,8.37,8.3,5.32
124,0.23,Very Good,D,VVS2,62.4,53.0,458,3.94,3.95,2.46
125,0.62,Ideal,F,VS1,61.9,55.0,2344,5.46,5.19,3.39
126,0.3,Ideal,H,IF,61.5,56.0,789,4.31,4.34,2.66
127,0.7,Very Good,F,SI1,61.1,59.0,2264,5.68,5.78,3.5
128,0.34,Ideal,I,IF,62.2,53.5,668,4.5,4.52,2.8
129,1.07,Premium,G,SI2,59.9,59.0,4278,6.67,6.61,3.98
130,1.52,Ideal,G,VS2,62.8,54.0,13809,7.3,7.36,4.61
131,1.53,Premium,D,SI2,59.9,58.0,8739,7.54,7.41,4.48
132,0.42,Ideal,D,VS2,62.4,55.0,1103,4.82,4.8,3.0
133,0.95,Very Good,I,SI1,63.5,58.0,3378,6.19,6.16,3.92
134,0.52,Very Good,F,VS2,60.4,56.0,1581,5.27,5.29,3.19
135,0.54,Very Good,E,SI2,60.7,56.5,1415,5.24,5.28,3.19
136,1.51,Very Good,J,VVS2,62.6,63.0,8706,7.29,7.24,4.55
137,1.01,Very Good,E,VS2,62.9,57.0,6488,6.37,6.43,4.02
138,0.9,Very Good,G,SI1,63.0,57.0,3681,6.13,6.19,3.88
139,0.46,Good,F,VS1,56.5,61.0,1109,5.11,5.05,2.87
140,1.01,Premium,E,SI1,59.5,60.0,5301,6.54,6.46,3.87
141,1.21,Premium,H,VS1,61.2,60.0,6056,6.77,6.86,4.17
142,0.3,Premium,D,VS1,61.2,59.0,914,4.34,4.29,2.64
143,0.91,Very Good,I,SI1,62.8,57.0,3703,6.09,6.18,3.85
144,0.4,Ideal,G,VVS1,62.3,54.0,1043,4.75,4.76,2.96
145,1.02,Premium,D,VS2,62.7,58.0,7101,6.44,6.35,4.01
146,0.53,Ideal,D,VS2,60.6,57.0,1956,5.28,5.24,3.19
147,0.33,Premium,I,VVS2,61.4,58.0,579,4.45,4.48,2.74
148,0.31,Ideal,H,VS2,62.2,53.0,489,4.38,4.43,2.74
149,0.5,Premium,F,VS1,61.3,59.0,1710,5.09,5.15,3.14
150,2.0,Premium,H,SI2,62.8,56.0,16031,8.04,7.98,5.03
151,0.7,Good,F,VS1,63.7,55.0,2724,5.56,5.61,3.56
152,0.35,Good,H,SI2,63.2,61.0,429,4.47,4.49,2.83
153,2.01,Very Good,F,SI2,61.6,56.0,15188,8.17,8.13,5.02
154,0.7,Very Good,D,VS1,61.2,56.0,3567,5.68,5.75,3.5
155,1.51,Very Good,H,SI1,60.6,59.0,10331,7.41,7.45,4.5
156,0.5,Ideal,G,VVS2,62.0,56.0,1838,5.09,5.13,3.17
157,0.33,Ideal,G,VVS1,62.3,55.0,1040,4.44,4.42,2.76
158,0.35,Ideal,H,SI1,60.8,56.0,523,4.58,4.6,2.79
159,0.37,Premium,I,VVS1,61.6,59.0,874,4.66,4.62,2.86
160,1.1,Premium,E,VVS2,60.1,58.0,10387,6.69,6.76,4.04
161,0.3,Ideal,G,IF,61.4,57.0,895,4.33,4.37,2.67
162,1.08,Ideal,F,VS1,62.1,53.0,8321,6.6,6.64,4.11
163,1.12,Premium,D,SI2,60.5,59.0,5233,6.72,6.76,4.08
164,0.95,Fair,D,SI2,64.4,60.0,3384,6.06,6.02,3.89
165,0.3,Ideal,E,VS2,61.6,56.0,658,4.27,4.3,2.64
166,0.34,Ideal,G,IF,61.2,56.0,974,4.53,4.55,2.78
167,0.71,Very Good,D,SI2,59.6,63.0,1758,5.8,5.71,3.44
168,2.02,Ideal,G,SI2,62.0,55.0,18296,8.16,8.1,5.04
169,1.04,Very Good,F,SI1,62.9,54.0,5525,6.46,6.49,4.07
170,1.22,Premium,J,VS1,61.7,59.0,5910,6.92,6.85,4.25
171,0.61,Ideal,G,VS2,61.4,55.7,1821,5.43,5.53,3.37
172,0.36,Very Good,E,SI2,62.6,57.0,505,4.5,4.54,2.83
173,0.3,Ideal,F,SI1,61.4,58.0,475,4.3,4.33,2.65
174,1.03,Good,J,I1,58.2,64.0,2220,6.64,6.69,3.88
175,0.72,Ideal,E,SI2,61.9,55.0,2398,5.76,5.78,3.57
176,1.26,Very Good,H,SI1,60.6,60.0,6546,6.97,7.0,4.23
177,0.55,Ideal,E,SI1,61.4,55.0,1668,5.29,5.26,3.24
178,0.24,Very Good,F,VVS2,62.5,56.0,478,3.98,4.02,2.5
179,0.76,Premium,D,SI1,61.1,59.0,2847,5.93,5.88,3.61
180,0.46,Good,I,VVS1,63.5,57.0,1089,4.85,4.91,3.1
181,0.7,Fair,G,SI1,63.1,57.0,2150,5.64,5.58,3.54
182,1.0,Very Good,F,SI1,59.4,60.0,4961,6.47,6.52,3.86
183,1.01,Good,G,SI1,63.9,57.0,4588,6.3,6.37,4.05
184,2.02,Very Good,J,SI1,63.0,56.0,12267,7.95,8.01,5.03
185,0.39,Ideal,E,IF,62.5,57.0,1248,4.7,4.74,2.95
186,0.41,Ideal,E,VS1,62.0,55.0,1153,4.77,4.74,2.95
187,0.66,Ideal,F,VVS2,61.2,57.0,2732,5.63,5.58,3.43
188,0.31,Ideal,I,SI1,61.5,55.0,436,4.36,4.39,2.69
189,1.08,Ideal,F,VS2,62.5,57.0,7625,6.52,6.57,4.09
190,2.01,Premium,H,SI1,61.5,53.0,16733,8.13,8.03,4.97
191,1.72,Premium,I,VVS2,62.7,58.0,12509,7.6,7.54,4.75
192,2.0,Very Good,J,VS2,61.9,60.0,14403,7.95,8.04,4.95
193,0.8,Premium,F,VS2,62.0,61.0,3369,5.99,5.91,3.69
194,0.72,Ideal,I,VVS1,61.3,57.0,2678,5.77,5.75,3.53
195,0.51,Very Good,D,VS2,62.5,58.0,1668,5.12,5.18,3.22
196,0.98,Fair,G,I1,68.0,63.0,1749,6.13,6.02,4.13
197,2.01,Fair,I,SI2,66.9,58.0,10711,7.93,7.69,5.21
198,1.71,Ideal,G,VS1,62.2,55.0,17595,7.72,7.65,4.78
199,1.13,Very Good,E,SI2,63.4,59.0,5147,6.53,6.59,4.16
200,1.32,Premium,I,SI1,62.2,58.0,6283,7.04,6.99,4.36
201,1.08,Premium,F,VS2,62.8,59.0,7079,6.55,6.47,4.09
202,0.71,Very Good,E,VS1,59.8,58.0,3112,5.78,5.82,3.47
203,1.08,Ideal,H,SI1,60.6,59.0,5756,6.61,6.65,4.02
204,0.32,Ideal,I,VS2,63.0,56.0,576,4.42,4.38,2.77
205,0.41,Premium,E,SI1,60.4,58.0,930,4.79,4.75,2.88
206,0.9,Premium,I,VS2,60.1,59.0,3663,6.37,6.25,3.79
207,1.07,Ideal,G,VS2,61.1,59.0,6324,6.62,6.57,4.03
208,1.01,Good,G,SI1,63.5,60.0,4588,6.3,6.33,4.01
209,0.9,Very Good,F,SI2,63.4,60.0,3465,6.06,6.09,3.85
210,0.81,Premium,F,SI1,60.3,59.0,3097,5.98,6.05,3.63
211,0.32,Very Good,G,VVS2,62.6,58.0,730,4.35,4.37,2.73
212,0.7,Ideal,G,SI2,62.7,57.0,2177,5.62,5.6,3.52
213,0.71,Very Good,E,VS2,63.4,60.0,2450,5.71,5.67,3.61
214,0.35,Premium,H,VVS2,62.5,58.0,906,4.51,4.48,2.81
215,1.11,Good,H,SI2,63.5,60.3,4456,6.49,6.58,4.15
216,0.7,Very Good,F,SI1,61.3,58.0,2312,5.7,5.72,3.5
217,0.5,Ideal,H,IF,61.0,56.0,1923,5.15,5.17,3.15
218,2.05,Ideal,J,VS2,61.7,54.9,14111,8.16,8.24,5.05
219,0.33,Premium,F,VVS2,62.3,60.0,901,4.43,4.4,2.75
220,0.39,Good,G,IF,63.5,56.0,1213,4.65,4.67,2.96
221,1.25,Premium,G,SI2,61.1,58.0,4340,6.96,6.91,4.24
222,0.38,Ideal,F,VVS1,61.9,54.0,1257,4.7,4.67,2.9
223,1.1,Good,G,SI2,60.5,61.0,4457,6.69,6.74,4.06
224,0.42,Premium,E,VS1,62.2,59.0,1105,4.76,4.79,2.97
225,0.51,Ideal,D,VS1,62.4,57.0,1779,5.09,5.13,3.19
226,1.01,Very Good,H,SI2,63.5,58.0,4475,6.29,6.37,4.02
227,0.76,Very Good,H,SI2,59.8,58.0,2418,5.94,5.96,3.56
228,1.02,Good,G,VS1,64.3,57.0,5951,6.28,6.34,4.06
229,0.99,Very Good,J,SI1,60.3,57.0,4002,6.44,6.49,3.9
230,0.84,Premium,E,VS2,62.4,60.0,3591,5.98,6.04,3.75
231,0.73,Premium,F,VS1,61.9,56.0,2961,5.81,5.76,3.58
232,0.63,Premium,I,VS1,62.0,58.0,1667,5.52,5.45,3.4
233,0.7,Ideal,E,VS2,61.5,56.0,2940,5.73,5.68,3.51
234,0.32,Premium,I,VS2,62.8,58.0,576,4.37,4.33,2.73
235,0.26,Ideal,D,VS1,62.0,55.0,452,4.1,4.12,2.55
236,1.2,Ideal,G,SI1,62.7,56.0,7372,6.78,6.83,4.27
237,0.41,Premium,G,VS2,61.7,61.0,1061,4.74,4.7,2.91
238,1.53,Good,H,IF,63.1,57.0,13248,7.25,7.34,4.6
239,0.76,Ideal,G,VS1,61.3,54.0,3648,5.88,5.94,3.62
240,1.11,Premium,D,VVS1,62.0,54.0,13405,6.67,6.63,4.16
241,2.01,Premium,I,SI1,60.5,58.0,12829,8.2,8.06,4.92
242,1.18,Ideal,I,SI1,61.3,55.6,5412,6.79,6.84,4.18
243,0.33,Ideal,D,VS2,60.9,55.0,1002,4.5,4.47,2.73
244,1.03,Very Good,H,SI2,62.8,59.0,4964,6.41,6.46,4.04
245,0.71,Very Good,E,VS2,61.6,56.0,2630,5.74,5.81,3.56
246,0.41,Good,F,I1,63.8,57.0,503,4.69,4.72,3.0
247,1.01,Very Good,D,VVS1,63.9,56.0,11923,6.32,6.36,4.05
248,0.3,Ideal,G,VVS2,62.7,57.0,878,4.29,4.26,2.68
249,0.33,Very Good,D,SI2,63.3,53.0,631,4.42,4.39,2.79
250,0.57,Ideal,F,VVS1,61.9,54.8,2339,5.3,5.36,3.3
251,1.01,Premium,G,VVS2,61.9,60.0,6470,6.45,6.41,3.98
252,0.33,Ideal,G,IF,61.0,56.0,925,4.48,4.51,2.74
253,0.52,Ideal,D,VVS1,62.0,57.0,3247,5.17,5.15,3.2
254,1.52,Very Good,F,SI2,62.1,58.0,9552,7.26,7.34,4.53
255,0.7,Good,F,SI1,63.2,57.0,2401,5.62,5.68,3.57
256,0.54,Ideal,I,SI2,61.8,54.0,964,5.24,5.27,3.25
257,0.32,Ideal,G,IF,61.9,53.0,918,4.42,4.47,2.75
258,1.01,Premium,G,VVS2,61.6,60.0,7466,6.41,6.38,3.94
259,0.5,Very Good,G,SI1,62.9,59.0,1187,5.04,5.07,3.18
260,0.3,Very Good,E,VVS2,62.5,56.0,742,4.28,4.3,2.68
261,1.2,Very Good,G,SI1,63.0,57.0,5607,6.7,6.75,4.24
262,1.01,Ideal,E,VS2,60.5,60.0,6806,6.46,6.47,3.91
263,0.38,Ideal,G,VS1,60.8,56.0,1069,4.71,4.66,2.85
264,0.7,Very Good,G,VS1,62.5,58.0,2437,5.63,5.69,3.54
265,0.7,Premium,H,VS2,61.8,60.0,2330,5.68,5.71,3.52
266,0.34,Ideal,G,SI1,61.9,55.5,531,4.49,4.54,2.79
267,0.25,Very Good,I,VVS2,61.6,56.0,455,4.06,4.09,2.51
268,1.24,Ideal,G,VS2,62.1,56.0,8504,6.87,6.91,4.28
269,1.06,Ideal,H,SI2,60.6,59.0,4267,6.63,6.6,4.01
270,0.4,Good,E,SI1,63.6,57.0,687,4.65,4.69,2.97
271,0.9,Good,H,VS2,63.6,61.0,3701,6.03,5.97,3.8
272,0.32,Ideal,H,VVS1,62.0,54.0,708,4.39,4.42,2.73
273,1.22,Very Good,G,SI2,59.2,61.0,6531,6.99,6.92,4.12
274,1.02,Very Good,G,SI1,62.9,56.0,4704,6.36,6.4,4.01
275,1.36,Ideal,H,SI1,61.5,56.0,8989,7.12,7.16,4.39
276,1.55,Ideal,J,VS1,60.4,57.0,8548,7.52,7.54,4.55
277,0.41,Ideal,D,VS1,62.3,56.0,1018,4.71,4.79,2.96
278,1.82,Very Good,J,VS1,62.2,56.0,10090,7.83,7.96,4.91
279,1.53,Very Good,G,SI2,62.1,61.0,8455,7.28,7.3,4.53
280,0.71,Ideal,E,SI1,62.0,56.0,2329,5.77,5.72,3.56
281,0.42,Very Good,G,VVS2,60.4,59.0,1031,4.78,4.82,2.9
282,0.44,Ideal,G,VS1,61.9,54.0,915,4.89,4.93,3.04
283,0.54,Ideal,D,SI1,60.7,56.0,1662,5.27,5.3,3.21
284,0.51,Very Good,E,VS2,64.1,57.0,1549,5.02,5.06,3.23
285,0.32,Ideal,F,IF,61.2,56.0,1204,4.41,4.45,2.71
286,1.04,Very Good,I,SI2,59.6,57.0,3603,6.6,6.62,3.94
287,0.71,Ideal,E,VS2,62.7,56.0,2891,5.71,5.75,3.59
288,0.34,Very Good,G,SI1,63.4,57.0,650,4.45,4.42,2.81
289,0.8,Premium,E,SI1,62.9,60.0,3091,5.89,5.87,3.7
290,1.01,Good,F,SI2,63.9,54.0,4416,6.33,6.44,4.08
291,1.23,Very Good,H,I1,61.9,60.6,3835,6.79,6.85,4.22
292,0.7,Very Good,J,VS1,59.6,62.0,1855,5.7,5.77,3.42
293,0.72,Very Good,I,VS2,63.3,55.0,2337,5.7,5.74,3.62
294,1.05,Premium,E,I1,61.4,58.0,2964,6.53,6.46,3.99
295,0.38,Ideal,F,VVS1,62.2,57.0,1257,4.68,4.64,2.9
296,0.7,Good,H,VS2,58.9,65.0,2187,5.69,5.76,3.37
297,0.55,Very Good,D,VS2,62.2,60.0,1796,5.2,5.25,3.25
298,1.25,Very Good,H,SI2,61.2,62.0,5637,6.84,6.95,4.22
299,1.01,Fair,F,SI2,67.3,62.0,3597,6.09,6.03,4.08
300,0.71,Very Good,F,VS1,60.6,60.0,3218,5.68,5.73,3.46
301,0.32,Ideal,H,VS1,61.8,55.0,720,4.42,4.41,2.73
302,0.61,Ideal,G,VS1,62.6,55.0,2309,5.46,5.43,3.41
303,0.5,Very Good,G,SI1,62.8,56.0,1237,5.05,5.08,3.18
304,0.41,Ideal,D,VS1,61.3,54.0,1230,4.83,4.8,2.95
305,0.91,Very Good,F,VS2,60.8,57.0,4606,6.24,6.25,3.8
306,1.2,Fair,G,I1,64.4,55.0,2655,6.77,6.61,4.31
307,2.0,Premium,H,SI2,60.7,60.0,15451,8.11,8.07,4.91
308,0.27,Ideal,I,VS1,61.3,57.0,432,4.16,4.19,2.56
309,1.51,Very Good,I,SI2,62.9,58.0,7139,7.24,7.3,4.57
310,0.51,Premium,G,SI2,58.6,59.0,1026,5.3,5.25,3.09
311,0.5,Very Good,E,SI2,60.8,61.0,1046,5.08,5.09,3.09
312,2.01,Premium,H,SI1,61.7,60.0,18188,8.06,7.96,4.94
313,0.5,Very Good,E,VS1,62.6,57.0,1755,5.02,5.08,3.16
314,1.01,Premium,E,VS1,60.8,59.0,7821,6.42,6.46,3.92
315,1.0,Premium,J,SI1,60.8,58.0,3780,6.44,6.39,3.9
316,2.01,Very Good,H,SI2,63.4,57.0,16111,8.0,7.93,5.05
317,1.02,Premium,F,VS2,61.3,58.0,6479,6.42,6.54,3.97
318,0.32,Ideal,G,VVS1,62.4,55.0,842,4.37,4.38,2.73
319,0.46,Ideal,I,VS1,62.3,56.0,974,4.96,4.93,3.08
320,1.01,Very Good,F,SI2,62.4,58.0,4187,6.37,6.42,3.99
321,0.38,Ideal,J,SI1,62.0,54.0,525,4.66,4.7,2.9
322,1.5,Good,G,SI1,58.4,65.0,7434,7.45,7.41,4.34
323,0.9,Good,H,SI2,64.3,60.0,3115,6.0,6.1,3.89
324,1.29,Premium,G,SI2,61.1,59.0,6116,7.03,6.95,4.27
325,0.8,Fair,E,I1,65.5,54.0,1232,5.84,5.68,3.78
326,1.09,Very Good,G,VS1,59.7,63.0,6570,6.74,6.65,4.0
327,0.32,Premium,F,VS2,62.1,59.0,828,4.41,4.35,2.72
328,1.02,Very Good,H,SI1,61.9,61.0,4476,6.34,6.42,3.95
329,0.34,Premium,G,VS2,60.2,58.0,765,4.56,4.51,2.73
330,1.5,Very Good,E,SI1,60.5,63.0,10046,7.42,7.35,4.48
331,0.31,Very Good,I,VS2,60.8,60.0,435,4.37,4.42,2.67
332,0.33,Ideal,G,VVS1,61.9,55.0,858,4.45,4.5,2.77
333,0.9,Very Good,G,VVS2,63.0,58.0,4565,6.07,6.15,3.85
334,0.43,Ideal,E,VVS2,60.8,57.0,1062,4.87,4.9,2.97
335,0.31,Ideal,D,VS2,62.1,54.0,734,4.33,4.37,2.7
336,1.29,Ideal,I,VS2,62.7,57.0,6509,6.97,6.91,4.35
337,0.3,Ideal,H,IF,62.5,56.0,764,4.31,4.33,2.7
338,0.34,Good,D,VVS1,57.4,62.0,957,4.67,4.71,2.69
339,0.7,Ideal,H,SI2,59.9,57.0,2142,5.77,5.74,3.45
340,0.9,Very Good,I,VS2,62.4,58.0,3398,6.12,6.16,3.83
341,1.14,Very Good,E,SI2,60.2,58.0,5014,6.71,6.78,4.06
342,1.15,Very Good,D,SI2,61.8,61.0,5186,6.62,6.69,4.11
343,1.13,Premium,H,SI1,62.6,60.0,4256,6.68,6.62,4.16
344,0.33,Very Good,G,SI2,62.9,55.0,434,4.41,4.46,2.79
345,0.5,Good,E,SI2,63.7,55.0,1077,5.03,5.08,3.22
346,0.53,Very Good,E,VS2,60.1,59.0,1852,5.24,5.27,3.16
347,0.65,Ideal,E,IF,62.3,56.0,4184,5.52,5.56,3.45
348,1.14,Premium,I,VS1,60.3,57.0,5148,6.83,6.81,4.11
349,1.0,Very Good,H,SI2,63.3,57.0,4200,6.37,6.3,4.01
350,1.01,Very Good,F,VS2,61.0,59.0,5560,6.39,6.46,3.92
351,0.76,Very Good,G,VVS2,61.5,59.0,3394,5.83,5.91,3.61
352,1.02,Fair,D,SI2,65.5,60.0,4381,6.27,6.24,4.1
353,0.9,Premium,G,SI1,62.9,58.0,3774,6.11,6.02,3.82
